OBJECTID;objektType;nveNetbasID;Plassering;nveNettnivaa;eier;eierOrgnr;navn;spenning_kV;longitude;latitude
948;Transformatorstasjon;;;2;BKK AS;976944801;Moskog;132.0;6.0137671115089475;61.446196583710254
725;Transformatorstasjon;;;1;STATNETT SF;962986633;Moskog;;6.016001342157958;61.44562875661882
235;EL_Transformatorstasjon;;;2;SUNNFJORD ENERGI AS;916501420;MYKLEBUST TS;0.0;6.385488099832478;61.52279039758267
17;EL_Transformatorstasjon;;;3;SUNNFJORD ENERGI AS;916501420;NAUSTDAL;0.0;5.720407118355388;61.51846948144508
955;Transformatorstasjon;;;2;BKK AS;976944801;Naustdal;66.0;5.720472035317699;61.518524327693804
952;Transformatorstasjon;;;2;BKK AS;976944801;Nedre Svultingen;66.0;5.349967448319168;61.15447265120146
292;EL_Transformatorstasjon;;;3;SUNNFJORD ENERGI AS;916501420;NEDRE SVULTINGEN;0.0;5.350006515454139;61.15438784758757
278;EL_Transformatorstasjon;81522.0;NVE NetBAS;2;LUSTER ENERGIVERK AS;933297292;NESET;;7.003930803076798;61.48737007554437
881;Transformatorstasjon;;;1;STATNETT SF;962986633;Nuken;;7.105994796722266;61.285017355757695
29;Transformatorstasjon;50.NØRVE;50 NØRVE;;LINJA AS;;NØRVE TRANSFORMATORSTASJON;132;6.244953350250164;62.47778138946444
2;Transformatorstasjon;OSBU;OSBU;;;;OSBU;132;8.470332820837884;62.508242241170315
675;Transformatorstasjon;;;1;STATNETT SF;962986633;Refsdal;;6.569348788071029;61.020904814462426
36;Transformatorstasjon;RESE 66VOGN;25 RESERVETRAFO PÅ VOGN;;LINJA AS;;RESERVETRAFO PÅ VOGN;66;5.8105350709130805;62.277865451016446
45;Transformatorstasjon;RJAN 66KAHU;RJÅNES;;LINJA AS;;RJÅNES KABELHUS;66;5.967157412798546;62.2494851253901
48;Transformatorstasjon;RJAN 66TRST;18 RJÅNES;;LINJA AS;;RJÅNES TRAFOSTASJON;66;5.969530731602602;62.24989938222226
30;Transformatorstasjon;RYST 132TRST;07 RYSTE;;LINJA AS;;RYSTE TRAFOSTASJON;132;6.101657380539092;62.18096124352673
2;EL_Transformatorstasjon;80632.0;NVE NetBAS;2;LINJA AS;984882114;SAGEFOSSEN;;5.678047974935139;61.61478900009421
112;EL_Transformatorstasjon;;;3;SUNNFJORD ENERGI AS;916501420;SANDE;0.0;5.775316494591913;61.32695062578201
951;Transformatorstasjon;;;2;BKK AS;976944801;Sande;132.0;5.776347334906157;61.32706849920961
910;Transformatorstasjon;;;2;BKK AS;976944801;Sandøy;132.0;4.9982666379542;60.85708959830597
